age,proportion_black
1.1,21.1
4.19,34.9
1.91,26.8
8.16,84.8
7.32,47.9
4.27,30.3
6.69,69.3
1.52,13.8
8.81,79.2
4.77,31.3
6.62,53.0
2.48,24.8
5.87,60.2
8.69,100.0
7.93,75.3
7.92,89.9
3.95,26.1
7.08,34.3
3.81,38.4
5.46,50.9
1.43,15.0
3.18,11.8
7.83,34.7
4.0,9.9
6.08,85.5
7.55,39.8
5.57,47.5
2.06,28.7
2.86,15.3
2.88,8.5
5.69,36.4
4.22,59.7
5.47,23.6
9.29,89.6
7.08,36.8
4.23,24.7
6.91,58.6
4.75,47.7
5.56,50.0
2.37,36.6
9.14,100.0
1.92,5.8
3.28,20.4
3.95,15.0
7.34,44.2
5.48,63.0
2.87,18.2
2.54,11.8
3.36,15.0
2.19,6.4
6.79,62.5
2.86,21.8
1.88,15.0
2.44,22.6
3.91,52.8
4.71,49.6
1.06,7.4
1.05,5.0
1.94,20.3
6.02,72.9
2.14,13.1
4.09,50.7
5.39,59.5
3.65,21.7
2.52,14.3
6.87,70.2
1.91,17.4
8.61,83.6
2.57,35.2
3.95,21.8
5.98,56.2
7.46,84.8
4.22,43.0
5.81,62.3
4.01,48.9
4.22,44.4
5.41,77.6
8.32,69.0
2.26,19.2
1.77,13.8
3.63,23.8
3.8,42.8
9.53,90.8
6.85,46.3
3.4,29.4
9.79,63.4
9.12,79.9
2.78,26.4
2.08,22.2
1.95,10.9
3.16,13.2
